round_id,date,course,hole,shot,club,distance_yd,category,start_lat,start_lng,end_lat,end_lng,pin_lat,pin_lng
27924130,2026-06-06,WindRose GC,15,5,Putter,0.7,putt,30.0637403,-95.5095513,30.063745308749,-95.509548724695,30.063745308749,-95.509548724695
27924130,2026-06-06,WindRose GC,16,1,9 Iron,146.4,tee,30.0656724,-95.5099512,30.0667617,-95.5105431,30.066588271455,-95.510353330615
27924130,2026-06-06,WindRose GC,16,2,54 Wedge,11.8,approach,30.0667617,-95.5105431,30.066710205405,-95.510448040541,30.066588271455,-95.510353330615
27924130,2026-06-06,WindRose GC,16,3,Putter,17.2,putt,30.066710205405,-95.510448040541,30.066592821294,-95.510356864613,30.066588271455,-95.510353330615
27924130,2026-06-06,WindRose GC,16,4,Putter,0.7,putt,30.066592821294,-95.510356864613,30.066588271455,-95.510353330615,30.066588271455,-95.510353330615
27924130,2026-06-06,WindRose GC,17,1,3 Wood,240.5,tee,30.066162482285,-95.511866100132,30.064209660182,-95.511504001915,30.064151585215,-95.511285993495
27924130,2026-06-06,WindRose GC,17,2,58 Wedge,24.4,approach,30.064209660182,-95.511504001915,30.0641854,-95.5112743,30.064151585215,-95.511285993495
27924130,2026-06-06,WindRose GC,17,3,Putter,2.0,putt,30.0641854,-95.5112743,30.06416996755,-95.511279636698,30.064151585215,-95.511285993495
27924130,2026-06-06,WindRose GC,17,4,Putter,1.7,putt,30.06416996755,-95.511279636698,30.064156837311,-95.511284177268,30.064151585215,-95.511285993495
27924130,2026-06-06,WindRose GC,17,5,Putter,0.7,putt,30.064156837311,-95.511284177268,30.064151585215,-95.511285993495,30.064151585215,-95.511285993495
27924130,2026-06-06,WindRose GC,18,1,Driver,267.9,tee,30.063699250551,-95.510058291256,30.061683701639,-95.511086247861,30.060546277607,-95.511787464502
27924130,2026-06-06,WindRose GC,18,2,7 Iron,151.8,approach,30.061683701639,-95.511086247861,30.060582912364,-95.511765895002,30.060546277607,-95.511787464502
27924130,2026-06-06,WindRose GC,18,3,Putter,4.3,putt,30.060582912364,-95.511765895002,30.060551162242,-95.51178458857,30.060546277607,-95.511787464502
27924130,2026-06-06,WindRose GC,18,4,Putter,0.7,putt,30.060551162242,-95.51178458857,30.060546277607,-95.511787464502,30.060546277607,-95.511787464502
